MD,Incl,Azi,TVD,NS,EW,VS,DLS,Build,Turn
1960.0,14.58,264.78,1861.24,-19.39,-446.75,-196.53,3.269,-3.12,3.75
1970.0,13.75,265.49,1870.93,-19.6,-449.18,-197.67,2.544,-2.49,2.13
1980.0,13.12,265.75,1880.66,-19.78,-451.5,-198.74,1.899,-1.89,0.78
1990.0,12.11,266.0,1890.42,-19.94,-453.68,-199.74,3.034,-3.03,0.75
2000.0,10.9,266.44,1900.22,-20.07,-455.67,-200.64,3.64,-3.63,1.32
2010.0,10.04,267.49,1910.05,-20.16,-457.48,-201.44,2.643,-2.58,3.15
2020.0,9.28,269.0,1919.91,-20.22,-459.16,-202.14,2.403,-2.28,4.53
2030.0,8.48,271.02,1929.79,-20.22,-460.7,-202.75,2.576,-2.4,6.06
2040.0,7.52,273.53,1939.69,-20.16,-462.09,-203.24,3.064,-2.88,7.53
2050.0,6.87,275.05,1949.61,-20.07,-463.34,-203.64,2.032,-1.95,4.56
2060.0,6.28,277.53,1959.55,-19.95,-464.48,-203.97,1.964,-1.77,7.44
2070.0,5.66,282.49,1969.49,-19.77,-465.5,-204.21,2.418,-1.86,14.88
2080.0,5.24,287.86,1979.45,-19.52,-466.42,-204.34,1.981,-1.26,16.11
2090.0,4.77,293.02,1989.41,-19.22,-467.24,-204.38,1.951,-1.41,15.48
2100.0,4.19,297.86,1999.38,-18.89,-467.94,-204.35,2.076,-1.74,14.52
2110.0,3.37,306.5,2009.36,-18.54,-468.5,-204.25,2.989,-2.46,25.92
2120.0,2.89,317.71,2019.34,-18.18,-468.91,-204.08,2.327,-1.44,33.63
2130.0,2.79,328.96,2029.33,-17.78,-469.2,-203.83,1.696,-0.3,33.75
2140.0,2.93,341.18,2039.32,-17.33,-469.41,-203.5,1.873,0.42,36.66
2150.0,3.39,355.71,2049.3,-16.8,-469.52,-203.04,2.76,1.38,43.59
2160.0,3.94,7.56,2059.28,-16.16,-469.49,-202.45,2.8,1.65,35.55
2170.0,4.35,16.27,2069.26,-15.46,-469.34,-201.74,2.25,1.23,26.13
2180.0,4.85,25.12,2079.22,-14.71,-469.06,-200.94,2.6,1.5,26.55
2190.0,5.41,33.13,2089.18,-13.93,-468.62,-200.06,2.724,1.68,24.03
2200.0,6.0,38.53,2099.13,-13.13,-468.04,-199.09,2.391,1.77,16.2
2210.0,6.56,42.36,2109.07,-12.3,-467.33,-198.05,2.097,1.68,11.49
2220.0,7.3,46.42,2119.0,-11.44,-466.48,-196.92,2.661,2.22,12.18
2230.0,8.25,51.54,2128.91,-10.55,-465.46,-195.71,3.524,2.85,15.36
2240.0,9.24,55.2,2138.79,-9.65,-464.24,-194.4,3.406,2.97,10.98
2250.0,10.14,57.43,2148.65,-8.72,-462.84,-193.0,2.925,2.7,6.69
2260.0,11.11,59.85,2158.48,-7.76,-461.26,-191.5,3.202,2.91,7.26
2270.0,12.04,61.78,2168.27,-6.78,-459.51,-189.91,3.022,2.79,5.79
2280.0,12.77,63.25,2178.04,-5.79,-457.6,-188.26,2.386,2.19,4.41
2290.0,13.29,64.43,2187.78,-4.8,-455.58,-186.55,1.752,1.56,3.54
2300.0,13.92,65.47,2197.5,-3.8,-453.45,-184.8,2.027,1.89,3.12
2310.0,14.69,65.98,2207.19,-2.79,-451.2,-182.98,2.341,2.31,1.53
2320.0,15.47,66.14,2216.85,-1.73,-448.82,-181.08,2.343,2.34,0.48
2330.0,16.18,66.32,2226.47,-0.63,-446.32,-179.09,2.135,2.13,0.54
2340.0,16.93,66.49,2236.06,0.51,-443.71,-177.02,2.255,2.25,0.51
2350.0,17.72,66.96,2245.6,1.69,-440.98,-174.87,2.407,2.37,1.41
2360.0,18.61,67.36,2255.1,2.9,-438.1,-172.63,2.696,2.67,1.2
2370.0,19.52,67.72,2264.55,4.14,-435.08,-170.3,2.753,2.73,1.08
2380.0,20.43,68.12,2273.95,5.43,-431.92,-167.88,2.761,2.73,1.2
